Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,emb_idx,word_length
hoover,0,3.76,1.23,4,29,0.86,162,0,17443,6
human,0,4.93,0.26,0,28,1.0,6363,Adjective,2529,5
ginger,0,4.92,0.27,0,26,1.0,327,Adjective,14580,6
cardboard,0,4.9,0.41,0,29,1.0,138,Adjective,19747,9
olive,0,4.9,0.31,0,30,1.0,375,Adjective,9724,5
rubber,0,4.86,0.74,0,29,1.0,714,Adjective,8903,6
eucalyptus,0,4.77,0.57,0,30,1.0,25,Adjective,27111,10
liquid,0,4.72,0.54,0,25,1.0,395,Adjective,6381,6
canine,0,4.71,0.6,0,28,1.0,86,Adjective,28735,6
bald,0,4.69,0.47,0,26,1.0,496,Adjective,13852,4
orange,0,4.66,0.9,0,29,1.0,1138,Adjective,4589,6
barefoot,0,4.62,0.68,0,29,1.0,121,Adjective,22985,8
bearded,0,4.62,0.7,1,27,0.96,65,Adjective,23905,7
wooden,0,4.61,0.63,0,28,1.0,367,Adjective,4799,6
concrete,0,4.59,1.05,0,27,1.0,379,Adjective,5509,8
pregnant,0,4.59,0.89,0,27,1.0,2653,Adjective,6875,8
female,0,4.57,0.88,0,28,1.0,1612,Adjective,2931,6
blonde,0,4.52,1.09,0,29,1.0,710,Adjective,9081,6
naked,0,4.5,1.0,0,28,1.0,2002,Adjective,6248,5
hairy,0,4.48,0.98,0,27,1.0,322,Adjective,15892,5
wooded,0,4.46,0.84,0,28,1.0,17,Adjective,17172,6
male,0,4.45,1.02,0,29,1.0,1731,Adjective,3287,4
solid,0,4.42,0.81,0,26,1.0,998,Adjective,5024,5
blond,0,4.41,1.12,2,29,0.93,533,Adjective,8855,5
roast,0,4.4,0.97,0,30,1.0,499,Adjective,25043,5
newborn,0,4.39,1.03,0,28,1.0,128,Adjective,20662,7
joint,0,4.37,1.08,0,27,1.0,1405,Adjective,4101,5
preschool,0,4.37,1.04,0,27,1.0,61,Adjective,23655,9
frozen,0,4.34,1.2,0,29,1.0,782,Adjective,7708,6
grassy,0,4.32,1.06,0,28,1.0,32,Adjective,22221,6
muddy,0,4.32,0.95,0,25,1.0,153,Adjective,15405,5
rainy,0,4.32,1.02,0,28,1.0,194,Adjective,16373,5
bottled,0,4.31,1.19,0,26,1.0,133,Adjective,26071,7
giant,0,4.3,1.22,1,24,0.96,1380,Adjective,5016,5
yellow,0,4.3,1.06,0,30,1.0,1724,Adjective,3756,6
dark,0,4.29,1.15,0,28,1.0,4519,Adjective,2601,4
decimal,0,4.29,1.15,0,28,1.0,42,Adjective,26066,7
wrinkled,0,4.29,1.16,0,31,1.0,86,Adjective,15968,8
abdominal,0,4.28,1.16,0,29,1.0,174,Adjective,21419,9
nude,0,4.28,1.1,0,29,1.0,301,Adjective,15287,4
marine,0,4.25,1.11,0,28,1.0,718,Adjective,3884,6
snowy,0,4.25,0.97,0,28,1.0,54,Adjective,20981,5
dirty,0,4.23,1.14,0,26,1.0,3389,Adjective,6530,5
padded,0,4.21,1.01,0,29,1.0,55,Adjective,20633,6
sunny,0,4.2,1.12,0,25,1.0,391,Adjective,11559,5
automotive,0,4.19,1.11,0,27,1.0,33,Adjective,12945,10
baked,0,4.19,1.0,0,27,1.0,341,Adjective,17776,5
sweaty,0,4.18,1.06,1,29,0.97,226,Adjective,19889,6
naval,0,4.14,1.16,0,29,1.0,292,Adjective,3987,5
tanned,0,4.14,1.24,0,28,1.0,31,Adjective,25973,6
silky,0,4.12,0.99,0,26,1.0,40,Adjective,18848,5
fried,0,4.11,1.05,0,27,1.0,518,Adjective,13017,5
grey,0,4.11,1.37,0,28,1.0,469,Adjective,4462,4
rectangular,0,4.11,1.17,0,28,1.0,22,Adjective,10806,11
sole,0,4.11,1.22,0,27,1.0,268,Adjective,7082,4
bloody,0,4.08,1.25,0,24,1.0,1962,Adjective,6703,6
bathing,0,4.07,0.96,0,27,1.0,379,Adjective,17573,7
dead,0,4.07,1.27,0,28,1.0,22898,Adjective,2757,4
green,0,4.07,1.22,0,29,1.0,3696,Adjective,2665,5
taller,0,4.07,1.11,1,28,0.96,284,Adjective,12283,6
triangular,0,4.07,1.2,0,30,1.0,12,Adjective,14023,10
underground,0,4.07,1.17,0,27,1.0,613,Adjective,5230,11
ceramic,0,4.04,1.11,0,26,1.0,62,Adjective,14692,7
freezing,0,4.04,1.14,0,28,1.0,680,Adjective,12809,8
glazed,0,4.04,0.96,1,27,0.96,50,Adjective,19724,6
oval,0,4.04,1.4,0,24,1.0,69,Adjective,9242,4
purple,0,4.04,1.43,0,28,1.0,629,Adjective,6379,6
smoky,0,4.04,1.32,1,29,0.97,34,Adjective,20629,5
striped,0,4.04,1.19,1,28,0.96,87,Adjective,17983,7
blind,0,4.03,1.15,0,29,1.0,2337,Adjective,6397,5
metallic,0,4.03,1.02,0,29,1.0,67,Adjective,12392,8
cloudy,0,4.0,1.31,0,29,1.0,110,Adjective,24706,6
colored,0,4.0,1.07,0,27,1.0,377,Adjective,6910,7
